camera,filename,full_path,recording_time,time_diff_minutes,file_size_mb,fps,width,height,duration_seconds
ATL-0006,ATL-0006_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0006/2025-06-20/ATL-0006_20250620_120641.mp4,12:06:41,6,13.15,14.663544557856955,480,270,921.7416666666667
ATL-0027,ATL-0027_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0027/2025-06-20/ATL-0027_20250620_120641.mp4,12:06:41,6,13.61,14.851621150877014,480,270,910.0016666666667
ATL-0069,ATL-0069_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0069/2025-06-20/ATL-0069_20250620_120641.mp4,12:06:41,6,15.17,14.646653282348666,480,270,922.8046666666667
ATL-0080,ATL-0080_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0080/2025-06-20/ATL-0080_20250620_120641.mp4,12:06:41,6,12.03,14.99867996593318,480,270,905.2796666666667
ATL-0150,ATL-0150_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0150/2025-06-20/ATL-0150_20250620_120641.mp4,12:06:41,6,12.11,14.998734939491637,480,270,901.1426666666667
ATL-0540,ATL-0540_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0540/2025-06-20/ATL-0540_20250620_120641.mp4,12:06:41,6,21.61,14.053244849939833,800,450,900.0056666666667
ATL-0610,ATL-0610_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0610/2025-06-20/ATL-0610_20250620_120641.mp4,12:06:41,6,12.78,14.999833532477814,480,270,901.0766666666667
ATL-0612,ATL-0612_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0612/2025-06-20/ATL-0612_20250620_120641.mp4,12:06:41,6,12.16,14.999750300102285,480,270,901.0816666666666
ATL-0613,ATL-0613_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0613/2025-06-20/ATL-0613_20250620_120641.mp4,12:06:41,6,10.4,14.999783592941652,480,270,901.0796666666668
ATL-0907,ATL-0907_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0907/2025-06-20/ATL-0907_20250620_120641.mp4,12:06:41,6,13.22,14.587586322028569,480,270,926.4726666666667
ATL-0917,ATL-0917_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0917/2025-06-20/ATL-0917_20250620_120641.mp4,12:06:41,6,14.63,14.663560466392934,480,270,921.7406666666667
ATL-0922,ATL-0922_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0922/2025-06-20/ATL-0922_20250620_120641.mp4,12:06:41,6,14.15,14.722226357316435,480,270,918.0676666666667
ATL-0946,ATL-0946_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0946/2025-06-20/ATL-0946_20250620_120641.mp4,12:06:41,6,31.95,14.99869335857046,800,450,903.0786666666667
ATL-0947,ATL-0947_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0947/2025-06-20/ATL-0947_20250620_120641.mp4,12:06:41,6,9.8,14.999750300102285,480,270,901.0816666666666
ATL-0948,ATL-0948_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0948/2025-06-20/ATL-0948_20250620_120641.mp4,12:06:41,6,14.25,14.965503827187332,480,270,903.1436666666667
ATL-0952,ATL-0952_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0952/2025-06-20/ATL-0952_20250620_120641.mp4,12:06:41,6,10.66,14.999783592941652,480,270,901.0796666666668
ATL-0972,ATL-0972_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0972/2025-06-20/ATL-0972_20250620_120641.mp4,12:06:41,6,10.8,14.58973652262834,480,270,926.4046666666666
ATL-0973,ATL-0973_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0973/2025-06-20/ATL-0973_20250620_120641.mp4,12:06:41,6,12.97,14.993247627835895,480,270,905.6076666666667
ATL-0980,ATL-0980_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0980/2025-06-20/ATL-0980_20250620_120641.mp4,12:06:41,6,3.05,14.99991752244764,480,270,181.86766666666668
ATL-0981,ATL-0981_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0981/2025-06-20/ATL-0981_20250620_120641.mp4,12:06:41,6,12.25,14.983353668427734,480,270,906.2056666666666
ATL-0987,ATL-0987_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0987/2025-06-20/ATL-0987_20250620_120641.mp4,12:06:41,6,10.04,14.663008893773279,480,270,926.0036666666666
ATL-0992,ATL-0992_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0992/2025-06-20/ATL-0992_20250620_120641.mp4,12:06:41,6,13.88,14.782362834088286,480,270,910.1386666666666
ATL-0996,ATL-0996_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0996/2025-06-20/ATL-0996_20250620_120641.mp4,12:06:41,6,10.02,14.98435157424752,480,270,902.0076666666666
ATL-0997,ATL-0997_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0997/2025-06-20/ATL-0997_20250620_120641.mp4,12:06:41,6,11.64,14.999916765777048,480,270,901.0716666666666
ATL-0998,ATL-0998_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0998/2025-06-20/ATL-0998_20250620_120641.mp4,12:06:41,6,11.81,14.72628460938374,480,270,917.8146666666667
ATL-0999,ATL-0999_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-0999/2025-06-20/ATL-0999_20250620_120641.mp4,12:06:41,6,14.29,14.727394981671582,480,270,917.6096666666667
ATL-1000,ATL-1000_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-1000/2025-06-20/ATL-1000_20250620_120641.mp4,12:06:41,6,9.87,14.9999060986877,480,270,905.2056666666667
ATL-1001,ATL-1001_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-1001/2025-06-20/ATL-1001_20250620_120641.mp4,12:06:41,6,12.41,14.491815223129981,480,270,936.9426666666667
ATL-1005,ATL-1005_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-1005/2025-06-20/ATL-1005_20250620_120641.mp4,12:06:41,6,11.18,14.999816885928812,480,270,901.0776666666667
ATL-1031,ATL-1031_20250620_120641.mp4,/home/trauco/traffic-recordings/ATL-1031/2025-06-20/ATL-1031_20250620_120641.mp4,12:06:41,6,29.61,14.849541488417366,320,240,914.3716666666667
